07105001,,Kahungunu,"Putere Road, Raupunga"
07105002,,Kurahikakawa,"SH 2, Waihua"
07105003,,Raupunga,"36 Putere Road, Raupunga"
07105004,,Te P?tere,"2084 P?tere Road, Raupunga"
07105005,,Waiapapa-a-Iwi Mohaka,"582 Mohaka Township Road, M?haka"
