03025068,Uekaha,Te M?hoe,"Owhiro Road, K?whia"
03025069,Matakore,Mangapeehi,"2769 SH 30, Mangapeehi"
03025070,Matakore,Te Hape,"1038 SH 30, Pureora"
03025071,Ngutu,Mangapeehi,"2769 SH 30, Mangapeehi"
03025072,Ngutu,Te Hape,"1038 SH 30, Pureora"
03025073,Pare,Mangapeehi,"2769 SH 30, Mangapeehi"
03025074,Pare,Te Hape,"1038 SH 30, Pureora"
03025075,Pare Raukawa,Mangapeehi,"2769 SH 30, Mangapeehi"
03025076,Pare Raukawa,Te Hape,"1038 SH 30, Pureora"
03025077,Rereahu,Mangapeehi,"2769 SH 30, Mangapeehi"
03025078,Rereahu,Te Hape,"1038 SH 30, Pureora"
03025079,Rereahu,Te Miringa te Kakara,"SH 30, Pureora"
03025080,Te Ihingarangi,Mangapeehi,"2769 SH 30, Mangapeehi"
03025081,Te Ihingarangi,Te Hape,"1038 SH 30, Pureora"
03025082,Te Ihingarangi,Waimiha,"1736 Service Road, Waimiha"
03025083,Apakura,Mangarama,"534 SH 3, Te Mapara"
03025084,Apakura,T?ne Hopuwai,"560 SH3, Te K?iti"
03025085,Apakura,Tomotuki,"366 Mangatea Road, Te K?iti"
03025086,Kinohaku,M?t?t?,"468 Mangatea Road, Te K?iti"
03025087,Kinohaku,Te Waipatoto,"376 Oparure Road, Oparure"
03025088,Pare,Te Ahoroa,"703 Rangitoto Road, Te K?iti"
03025089,Parekaitini,Tomotuki,"366 Mangatea Road, Te K?iti"
03025090,Peehi,Te Kumi,"Te Kumi Road, Te K?iti"
03025091,Putaitemuri,M?t?t?,"468 Mangatea Road, Te K?iti"
03025092,Rereahu,Te Ahoroa,"703 Rangitoto Road, Te K?iti"
03025093,R?r?,Te Kumi,"Te Kumi Road, Te K?iti"
03025094,R?r?,Te Piruru Papakainga,"Waitete Road, Te K?iti"
03025095,R?r?,Te Tokanganui a Noho,"Awakino Road, Te K?iti"
03025096,R?r?,Tomotuki,"366 Mangatea Road, Te K?iti"
03025097,Tauhunu,M?t?t?,"468 Mangatea Road, Te K?iti"
03025098,Hari,Hia Kaitupeka,"Kaitupeka Road, Taringamotu"
03025099,Hinemihi,Petania,"Ngakaunui Road, Taumarunui"
03025100,Hinemihi,Waip?,Taumarunui
03025101,Hinemihi,Wharauroa,"184 Taupo Road, Taumarunui"
03025102,Mangu,T? Whenua,Taumarunui
03025103,Pahere,Te K?ura,"SH 4, Te K?ura"
03025104,Pahere,Wharauroa,"184 Taupo Road, Taumarunui"
03025105,Parewaeone,Petania,"Ngakaunui Road, Taumarunui"
03025106,Raerae,Te Rongaroa,"Burgess Road, ?ngarue"
03025107,Rangatahi,Wharauroa,"184 Taupo Road, Taumarunui"
03025108,Rewa,T? Whenua,Taumarunui
03025109,R?r?,Petania,"Ngakaunui Road, Taumarunui"
03025110,R?r?,Te Rongaroa,"Burgess Road, ?ngarue"
03025111,Te Kanawa,Hia Kaitupeka,"Kaitupeka Road, Taringamotu"
03025112,Tupu,T? Whenua,Taumarunui
