08115001,Kanihi - Umutahi,Kanihi (M?whitiwhiti),"Omahuru Road, ?kaiawa"
08115002,Kanihi - Umutahi,Te Rangatapu,"?hawe Terrace, ?hawe Beach"
08115003,Ng?ti Haua,Okare ki Uta,"Taikatu Road, Otakeho"
08115004,Ng?ti Haua,Tawhitinui,"2453 Surf Highway 45, Otakeho"
08115005,Ng?ti Manuhiakai,Te Aroha o T?tokowaru,"404 Upper Inaha Road, ?kaiawa"
08115006,Ng?ti Tamaahuroa me T?tahi,?eo,"2897 Surf Highway 45, ?eo"
08115007,Ng?ti T?,Waiokura,"Upper Winks Road, Manaia"
08115008,?kahu - Inu?wai,Aotearoa,"Hastings Road, ?kaiawa"
08115009,?kahu - Inu?wai,Te Rangatapu,"?hawe Terrace, ?hawe Beach"
