06035001,Ng?i T?whiri,Ohako,"Papatu Road, Manutuke"
06035002,Ng?i T?whiri,Te Kur? a Tuatai (Awapuni P?),"307 Lytton Road, Gisborne"
06035003,Ng?ti Kaipoho,Manutuke,"73A Whakato Road, Manutuke"
06035004,Ng?ti Maru,P?hou,"Tuaraki Road, Manutuke"
06035005,Ng?ti Maru,Whakato,"31 - 33 Whakato Road, Manutuke"
06035006,Ruapani,Ohako,"Papatu Road, Manutuke"
06035007,Ruapani,Te Kur? a Tuatai (Awapuni P?),"307 Lytton Road, Gisborne"
06035008,Te Wh?nau a Iwi,Te Kur? a Tuatai (Awapuni P?),"307 Lytton Road, Gisborne"
