0908,"Ng?ti Rangi (Ruapehu, Whanganui)",,,,
0909,"Uenuku (Ruapehu, Waimarino)",,,,
0910,"Tamahaki (Ruapehu, Waimarino)",,,,
0911,"Tamakana (Ruapehu, Waimarino)",,,,
0912,Whanganui,,,,
,,,,,
10,Manawatu / Horowhenua / Wellington: Manuatu / Horowhenua / Te Whanganui a Tara Region Iwi,,,,
1001,Te Atiawa (Te Whanganui-a-Tara/Wellington),,,,
1002,Mua?poko,,,,
1003,Rangit?ne (Manawat?),,,,
1004,Ng?ti Raukawa (Horowhenua/Manawat?),,,,
1005,Ng?ti Toarangatira (Te Whanganui-a-Tara/Wellington),,,,
1006,Te Atiawa ki Whakarongotai,,,,
1007,Ng?ti Tama ki Te Upoko o Te Ika (Te Whanganui-a-Tara/Wellington),,,,
1008,Ng?ti Kauwhata,,,,
1009,Ng?ti Tukorehe,,,,
,,,,,
11,Te Waipounamu/Wharekauri (South Island/Chatham Islands) Region Iwi,,,,
1101,Te Atiawa (Te Waipounamu/South Island),,,,
1102,Ng?ti Koata,,,,
1103,Ng?ti Kuia,,,,
1104,K?ti M?moe,,,,
1105,Moriori,,,,
1106,Ng?ti Mutunga (Wharekauri/Chatham Islands),,,,
1107,Rangit?ne (Te Waipounamu/South Island),,,,
1108,Ng?ti R?rua,,,,
1109,Ng?i Tahu / K?i Tahu,,,,
1110,Ng?ti Tama (Te Waipounamu/South Island),,,,
1111,Ng?ti Toarangatira (Te Waipounamu/South Island),,,,
1112,Waitaha (Te Waipounamu/South Island),,,,
1113,Ng?ti Apa ki Te R? T?,,,,
