08055001,Kanihi - Umutahi,Kanihi (M?whitiwhiti),"Omahuru Road, ?kaiawa"
08055002,Kanihi - Umutahi,Te Rangatapu,"?hawe Terrace, ?hawe Beach"
08055003,Ng?ti Haua,Okare ki Uta,"Taikatu Road, Otakeho"
08055004,Ng?ti Haua,Tawhitinui,"2453 Surf Highway 45, Otakeho"
08055005,Ng?ti Manuhiakai,Te Aroha o T?tokowaru,"404 Upper Inaha Road, ?kaiawa"
08055006,Ng?ti Tamaahuroa me T?tahi,?eo,"2897 Surf Highway 45, ?eo"
08055007,Ng?ti T?,Waiokura,"Upper Winks Road, Manaia"
08055008,?kahu - Inu?wai,Aotearoa,"Hastings Road, ?kaiawa"
08055009,?kahu - Inu?wai,Te Rangatapu,"?hawe Terrace, ?hawe Beach"
