11015001,,Onetahua K?kiri,"P?hara Valley Road, Takaka"
11015002,,Te ?whina,"Pah Street, Motueka"
11015003,,Waikawa,"210 Waikawa Bay Road, Picton"
11015004,,Whakat?,"Atawhai Drive, Nelson"
