03015001,Ng?ti Rangi Tawhaki,Raungaiti,"6425 SH 27, Tamihana, Waharoa"
03015002,Ng?ti Te Oro,Raungaiti,"6425 SH 27, Tamihana, Waharoa"
03015003,Ng?ti Te Oro,Te Iti a Hau? (Tauwhare),"780 Tauwhare Road, Hamilton"
03015004,Ng?ti Te Rangitaupi,Te Iti a Hau? (Tauwhare),"780 Tauwhare Road, Hamilton"
03015005,Ng?ti Waenganui,Te Iti a Hau? (Tauwhare),"780 Tauwhare Road, Hamilton"
03015006,Ng?ti Waenganui,Waimakariri,"Victoria Road, Hamilton"
03015007,Ng?ti Werewere,Kai a Te Mata,"1 Kereone Road, Morrinsville"
03015008,Ng?ti Werewere,Rukumoana (The Top P?),"536 Morrinsville - Walton Road, Morrinsville"
03015009,Ng?ti Werewere,Te Iti a Hau? (Tauwhare),"780 Tauwhare Road, Hamilton"
