11085001,,Onetahua K?kiri,"P?hara Valley Road, Takaka"
11085002,,Parerarua,Wairau
11085003,,Te ?whina,"Pah Street, Motueka"
11085004,,Wairau,"Wairau Bar Road, Spring Creek"
11085005,,Whakat?,"Atawhai Drive, Nelson"
